Anchore Raw,Anchore Unique,Vuls Raw,Vuls Unique,Anchore to Vuls Matching,Vuls to Anchore Matching,Common Vulnerabilities,Anchore Unmatched,Vuls Unmatched,Total,Anchore Coverage,Vuls Coverage
CVE-2017-0861,CVE-2017-3462,CVE-2017-9746,CVE-2017-9746,429,751,,,,,,
CVE-2017-1000048,CVE-2017-3463,CVE-2017-9747,CVE-2017-9747,430,752,,,,,,
CVE-2017-1000100,CVE-2017-3464,CVE-2017-9748,CVE-2017-9748,431,753,,,,,,
CVE-2017-1000100,CVE-2017-3600,CVE-2017-9749,CVE-2017-9749,432,754,,,,,,
CVE-2017-1000101,CVE-2017-3635,CVE-2017-9750,CVE-2017-9750,433,755,,,,,,
CVE-2017-1000101,CVE-2017-3636,CVE-2017-9751,CVE-2017-9751,434,756,,,,,,
CVE-2017-1000111,CVE-2017-3641,CVE-2017-9752,CVE-2017-9752,435,757,,,,,,
CVE-2017-1000112,CVE-2017-3648,CVE-2017-9753,CVE-2017-9753,436,758,,,,,,
CVE-2017-1000158,CVE-2017-3651,CVE-2017-9754,CVE-2017-9754,437,759,,,,,,
CVE-2017-1000158,CVE-2017-3652,CVE-2017-9755,CVE-2017-9755,438,760,,,,,,
CVE-2017-1000158,CVE-2017-3653,CVE-2017-9756,CVE-2017-9756,439,761,,,,,,
CVE-2017-1000158,CVE-2017-3731,CVE-2017-9782,CVE-2017-9782,440,762,,,,,,
CVE-2017-1000158,CVE-2017-3735,CVE-2017-9814,CVE-2017-9814,441,763,,,,,,
CVE-2017-1000158,CVE-2017-5029,CVE-2017-9815,CVE-2017-9815,442,764,,,,,,
CVE-2017-1000158,CVE-2017-5225,CVE-2017-9869,CVE-2017-9869,443,765,,,,,,
CVE-2017-1000158,CVE-2017-5335,CVE-2017-9870,CVE-2017-9870,444,766,,,,,,
CVE-2017-1000158,CVE-2017-5336,CVE-2017-9871,CVE-2017-9871,445,767,,,,,,
CVE-2017-1000158,CVE-2017-5337,CVE-2017-9872,CVE-2017-9872,446,768,,,,,,
CVE-2017-1000158,CVE-2017-5504,CVE-2017-9935,CVE-2017-9935,447,769,,,,,,
CVE-2017-1000251,CVE-2017-5549,CVE-2017-9936,CVE-2017-9936,#N/A,770,,,,,,
CVE-2017-1000254,CVE-2017-5550,CVE-2017-9937,CVE-2017-9937,#N/A,771,,,,,,
CVE-2017-1000254,CVE-2017-5551,CVE-2017-9955,CVE-2017-9955,#N/A,772,,,,,,
CVE-2017-1000257,CVE-2017-5563,CVE-2017-9991,CVE-2017-9991,448,776,,,,,,
CVE-2017-1000257,CVE-2017-5669,CVE-2017-9992,CVE-2017-9992,#N/A,777,,,,,,
CVE-2017-1000363,CVE-2017-5715,CVE-2017-9993,CVE-2017-9993,#N/A,778,,,,,,
CVE-2017-1000364,CVE-2017-5753,CVE-2017-9994,CVE-2017-9994,#N/A,779,,,,,,
CVE-2017-1000365,CVE-2017-5754,CVE-2017-9996,CVE-2017-9996,#N/A,780,,,,,,
CVE-2017-1000366,CVE-2017-5837,CVE-2018-0494,CVE-2018-0494,449,781,,,,,,
CVE-2017-1000366,CVE-2017-5838,CVE-2018-0495,CVE-2018-0495,450,782,,,,,,
CVE-2017-1000366,CVE-2017-5839,CVE-2018-0732,CVE-2018-0732,451,783,,,,,,
CVE-2017-1000366,CVE-2017-5840,CVE-2018-0734,CVE-2018-0734,452,#N/A,,,,,,
CVE-2017-1000366,CVE-2017-5842,CVE-2018-0735,CVE-2018-0735,453,#N/A,,,,,,
CVE-2017-1000367,CVE-2017-5844,CVE-2018-0737,CVE-2018-0737,454,784,,,,,,
CVE-2017-1000376,CVE-2017-5897,CVE-2018-0739,CVE-2018-0739,#N/A,785,,,,,,
CVE-2017-1000379,CVE-2017-5953,CVE-2018-1000001,CVE-2018-1000001,455,786,,,,,,
CVE-2017-1000380,CVE-2017-5967,CVE-2018-1000007,CVE-2018-1000007,#N/A,788,,,,,,
CVE-2017-1000382,CVE-2017-5970,CVE-2018-1000030,CVE-2018-1000030,#N/A,790,,,,,,
CVE-2017-1000382,CVE-2017-5972,CVE-2018-1000120,CVE-2018-1000120,#N/A,791,,,,,,
CVE-2017-1000405,CVE-2017-5986,CVE-2018-1000121,CVE-2018-1000121,#N/A,792,,,,,,
CVE-2017-1000407,CVE-2017-6214,CVE-2018-1000122,CVE-2018-1000122,#N/A,793,,,,,,
CVE-2017-1000408,CVE-2017-6280,CVE-2018-1000222,CVE-2018-1000222,#N/A,#N/A,,,,,,
CVE-2017-1000408,CVE-2017-6311,CVE-2018-1000301,CVE-2018-1000301,456,796,,,,,,
CVE-2017-1000408,CVE-2017-6312,CVE-2018-1000654,CVE-2018-1000654,457,#N/A,,,,,,
CVE-2017-1000408,CVE-2017-6313,CVE-2018-1000802,CVE-2018-1000802,458,#N/A,,,,,,
CVE-2017-1000408,CVE-2017-6314,CVE-2018-10126,CVE-2018-10126,459,800,,,,,,
CVE-2017-1000409,CVE-2017-6345,CVE-2018-10360,CVE-2018-10360,#N/A,#N/A,,,,,,
CVE-2017-1000409,CVE-2017-6346,CVE-2018-10392,CVE-2018-10392,#N/A,803,,,,,,
CVE-2017-1000409,CVE-2017-6348,CVE-2018-10393,CVE-2018-10393,#N/A,804,,,,,,
CVE-2017-1000409,CVE-2017-6349,CVE-2018-1049,CVE-2018-1049,460,805,,,,,,
CVE-2017-1000409,CVE-2017-6350,CVE-2018-1053,CVE-2018-1053,461,806,,,,,,
CVE-2017-1000410,CVE-2017-6362,CVE-2018-1058,CVE-2018-1058,462,807,,,,,,
CVE-2017-1000422,CVE-2017-6508,CVE-2018-1060,CVE-2018-1060,467,#N/A,,,,,,
CVE-2017-1000422,CVE-2017-6512,CVE-2018-1061,CVE-2018-1061,468,#N/A,,,,,,
CVE-2017-10140,CVE-2017-6594,CVE-2018-10779,CVE-2018-10779,469,811,,,,,,
CVE-2017-10268,CVE-2017-6850,CVE-2018-10801,CVE-2018-10801,470,812,,,,,,
CVE-2017-10268,CVE-2017-6852,CVE-2018-10915,CVE-2018-10915,471,#N/A,,,,,,
CVE-2017-10378,CVE-2017-6891,CVE-2018-10963,CVE-2018-10963,472,818,,,,,,
CVE-2017-10378,CVE-2017-6951,CVE-2018-11212,CVE-2018-11212,#N/A,#N/A,,,,,,
CVE-2017-10379,CVE-2017-6964,CVE-2018-11213,CVE-2018-11213,473,#N/A,,,,,,
CVE-2017-10379,CVE-2017-6965,CVE-2018-11214,CVE-2018-11214,474,#N/A,,,,,,
