Anchore Raw,Anchore Unique,Vuls Raw,Vuls Unique,Anchore to Vuls Matching,Vuls to Anchore Matching,Common Vulnerabilities,Anchore Unmatched,Vuls Unmatched,Total,Anchore Coverage,Vuls Coverage
CVE-2016-3120,CVE-2017-11109,CVE-2017-12456,CVE-2017-12456,227,275,,,,,,
CVE-2016-3120,CVE-2017-11112,CVE-2017-12457,CVE-2017-12457,228,276,,,,,,
CVE-2016-3186,CVE-2017-11113,CVE-2017-12458,CVE-2017-12458,229,277,,,,,,
CVE-2016-3189,CVE-2017-11333,CVE-2017-12459,CVE-2017-12459,230,278,,,,,,
CVE-2016-3189,CVE-2017-11335,CVE-2017-12799,CVE-2017-12799,231,280,,,,,,
CVE-2016-3190,CVE-2017-11368,CVE-2017-12837,CVE-2017-12837,232,281,,,,,,
CVE-2016-3190,CVE-2017-11462,CVE-2017-12883,CVE-2017-12883,233,282,,,,,,
CVE-2016-3616,CVE-2017-11472,CVE-2017-12944,CVE-2017-12944,#N/A,283,,,,,,
CVE-2016-3695,CVE-2017-11473,CVE-2017-12967,CVE-2017-12967,#N/A,284,,,,,,
CVE-2016-3706,CVE-2017-11499,CVE-2017-13089,CVE-2017-13089,234,285,,,,,,
CVE-2016-3706,CVE-2017-11613,CVE-2017-13090,CVE-2017-13090,235,286,,,,,,
CVE-2016-4429,CVE-2017-11720,CVE-2017-13685,CVE-2017-13685,236,290,,,,,,
CVE-2016-4429,CVE-2017-12132,CVE-2017-13712,CVE-2017-13712,237,292,,,,,,
CVE-2016-4607,CVE-2017-12133,CVE-2017-13716,CVE-2017-13716,238,293,,,,,,
CVE-2016-4608,CVE-2017-12134,CVE-2017-13726,CVE-2017-13726,#N/A,294,,,,,,
CVE-2016-4609,CVE-2017-12153,CVE-2017-13727,CVE-2017-13727,#N/A,295,,,,,,
